ds,yhat,yhat_lower,yhat_upper,sku_id,sku_name,segment
2021-01-04,7013.319633905282,6236.565780508058,7828.8973781805735,SKU0018,BrandF Water,AY
2021-01-11,6799.403880236963,6074.84222529786,7566.217152179969,SKU0018,BrandF Water,AY
2021-01-18,6524.685929124325,5710.179339408003,7308.203075051139,SKU0018,BrandF Water,AY
2021-01-25,6405.733996430827,5714.0877669695465,7245.220348285959,SKU0018,BrandF Water,AY
2021-02-01,6554.268931281034,5816.875804631786,7349.125404456706,SKU0018,BrandF Water,AY
2021-02-08,6817.248092886956,6023.650878011255,7579.624988573503,SKU0018,BrandF Water,AY
2021-02-15,6920.102773524486,6132.817877784352,7679.594654832053,SKU0018,BrandF Water,AY
2021-02-22,6777.445505837245,6016.201616095703,7551.387490574926,SKU0018,BrandF Water,AY
2021-03-01,6589.676785776032,5819.206672514892,7390.17957434425,SKU0018,BrandF Water,AY
2021-03-08,6585.7275883197335,5844.824006079385,7402.525382560145,SKU0018,BrandF Water,AY
2021-03-15,6726.3046261824875,5934.871829128186,7467.361438999796,SKU0018,BrandF Water,AY
2021-03-22,6756.0312542743695,6030.162649589293,7531.959573457953,SKU0018,BrandF Water,AY
2021-03-29,6554.333412672327,5818.233073605218,7337.93419508308,SKU0018,BrandF Water,AY
2021-04-05,6329.323904936803,5532.811885165165,7078.31669194898,SKU0018,BrandF Water,AY
2021-04-12,6372.769852757138,5666.489370264392,7142.154272851064,SKU0018,BrandF Water,AY
2021-04-19,6664.368448478085,5905.891804598339,7396.300308218884,SKU0018,BrandF Water,AY
2021-04-26,6852.8820098820315,6078.976000116242,7610.349328811702,SKU0018,BrandF Water,AY
2021-05-03,6699.26492664025,5954.182359685126,7503.928863021812,SKU0018,BrandF Water,AY
2021-05-10,6460.403628693452,5667.539763860998,7231.273697172875,SKU0018,BrandF Water,AY
2021-05-17,6698.603767800577,5937.303416356172,7514.972727178824,SKU0018,BrandF Water,AY
2021-05-24,7670.031738006524,6897.763378819158,8465.41102440262,SKU0018,BrandF Water,AY
2021-05-31,8982.379833625751,8199.658995728423,9789.019557978712,SKU0018,BrandF Water,AY
2021-06-07,9939.774286201322,9187.102561194686,10703.118155653836,SKU0018,BrandF Water,AY
2021-06-14,10205.574853936978,9404.799082202975,11065.19773094036,SKU0018,BrandF Water,AY
2021-06-21,10049.463856374065,9244.47910406274,10772.468423402552,SKU0018,BrandF Water,AY
2021-06-28,9944.344621783064,9144.786451344833,10780.813180013554,SKU0018,BrandF Water,AY
2021-07-05,10035.024617664549,9265.881026521656,10716.341055113695,SKU0018,BrandF Water,AY
2021-07-12,10101.211564858422,9301.389850630805,10864.986820264596,SKU0018,BrandF Water,AY
2021-07-19,9983.605813297232,9226.663238674988,10710.007520682577,SKU0018,BrandF Water,AY
2021-07-26,9863.655779253386,9073.448739503514,10640.1405226809,SKU0018,BrandF Water,AY
2021-08-02,10005.042092070098,9258.208977130651,10809.70422562319,SKU0018,BrandF Water,AY
2021-08-09,10291.97406415709,9555.732466113694,11037.797721015058,SKU0018,BrandF Water,AY
2021-08-16,10205.569097341006,9443.98005884494,10953.397514067354,SKU0018,BrandF Water,AY
2021-08-23,9358.637416840378,8589.387946058467,10090.840583815028,SKU0018,BrandF Water,AY
2021-08-30,7994.557070477187,7258.104533445765,8804.15118401514,SKU0018,BrandF Water,AY
2021-09-06,6840.279415851871,6055.59031145297,7668.843457678669,SKU0018,BrandF Water,AY
2021-09-13,6432.181353972918,5585.49954120332,7167.235170671024,SKU0018,BrandF Water,AY
2021-09-20,6642.305364252027,5914.3401353385425,7413.1262368095495,SKU0018,BrandF Water,AY
2021-09-27,6900.196205575683,6137.7639226685615,7618.264896455851,SKU0018,BrandF Water,AY
2021-10-04,6819.469343161249,6080.58076556088,7553.8180487394,SKU0018,BrandF Water,AY
2021-10-11,6525.3929554841725,5713.319822895936,7311.323722074417,SKU0018,BrandF Water,AY
2021-10-18,6385.265628641356,5575.581227345523,7086.128690651654,SKU0018,BrandF Water,AY
2021-10-25,6535.447864510089,5821.115774213846,7331.308875496692,SKU0018,BrandF Water,AY
2021-11-01,6761.660433722758,5998.11766094126,7488.826221710471,SKU0018,BrandF Water,AY
2021-11-08,6801.677522485124,6044.707631602921,7549.050087365827,SKU0018,BrandF Water,AY
2021-11-15,6649.183703828519,5878.608450677496,7454.7278464411465,SKU0018,BrandF Water,AY
2021-11-22,6512.57256570033,5727.173260430021,7379.115226034722,SKU0018,BrandF Water,AY
2021-11-29,6546.469895440804,5759.429118399852,7346.957193911355,SKU0018,BrandF Water,AY
2021-12-06,6711.980857897353,5932.106054798082,7480.969292983216,SKU0018,BrandF Water,AY
2021-12-13,6886.593173010105,6089.444635822241,7643.23267101311,SKU0018,BrandF Water,AY
2021-12-20,7012.464702223315,6273.908660550956,7755.866003755496,SKU0018,BrandF Water,AY
2021-12-27,7083.612920776181,6317.2468031735225,7846.5869203216525,SKU0018,BrandF Water,AY
2022-01-03,7054.115674865383,6278.5063528449,7849.828624601502,SKU0018,BrandF Water,AY
2022-01-10,6866.593821996464,6162.193216915241,7612.107194995846,SKU0018,BrandF Water,AY
2022-01-17,6588.050699285316,5838.138226582004,7355.537590461802,SKU0018,BrandF Water,AY
2022-01-24,6426.646578590209,5657.78607249439,7213.109412695496,SKU0018,BrandF Water,AY
